LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,ZIP CODE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LATITUDE,LONGITUDE,selected
"PINSTRIPES, INC.",PINSTRIPES,435 E ILLINOIS ST LL-1ST,60611,1/23/15,2/15/17,41.89097,-87.61635,polygon
COLUMBUS' CURRY LLC,COLUMBUS' CURRY,1359 N MILWAUKEE AVE,60622,1/26/15,2/15/17,41.90663,-87.67138,polygon
SHILAS RESTAURANT CORPORATION,SHILAS RESTAURANT,3938 N CICERO AVE 1ST,60641,2/13/15,2/15/17,41.95276,-87.74745,polygon
"MAISON CUISINE, INC.",MAISON CUISINE,324 N LEAVITT ST,60612,2/2/15,2/15/17,41.88743,-87.68185,polygon
"PINSTRIPES, INC.",PINSTRIPES,435 E ILLINOIS ST LL-1ST,60611,1/23/15,2/15/17,41.89097,-87.61635,polygon
GSE CHICAGO LLC,GOOD STUFF EATERY,22 S WABASH AVE 1ST,60603,1/26/15,2/15/17,41.88153,-87.62634,polygon
"LABRIOLA CAFE - MICHIGAN AVE., LLC",LABRIOLA BAKERY CAFE,535 N MICHIGAN AVE 1,60611,1/28/15,2/15/17,41.89190,-87.62402,polygon
"BRASS MONKEY BRASSERIE, LLC",BRASS MONKEY BRASSERIE,401 N MORGAN ST 1ST,60642,2/6/15,2/15/17,41.88904,-87.65209,polygon
820 RESTAURANT LLC,TAPWORKS,820 W JACKSON BLVD 1,60607,1/27/15,2/15/17,41.87804,-87.64818,polygon
"PINSTRIPES, INC.",PINSTRIPES,435 E ILLINOIS ST LL-1ST,60611,5/11/15,2/15/17,41.89097,-87.61635,polygon
TAYLOR 4 LLC,BASCULE WINE BAR & AMERICAN BISTRO,1421 W TAYLOR ST 1,60607,1/16/15,2/15/17,41.86922,-87.66249,polygon
"WHOLE FOODS MARKET GROUP, INC.",WHOLE FOODS MARKET,959 W FULLERTON AVE FIRST,60614,2/10/15,2/15/17,41.92527,-87.65349,polygon
"235 ASHLAND HOLDINGS, INC.",COBRA LOUNGE / ALL RISE BREWING CO.,235 N ASHLAND AVE 1,60607,2/3/15,2/15/17,41.88649,-87.66686,polygon
3733 NORTH HALSTED INC.,The North End,800 W WAVELAND AVE,60613,2/21/17,2/25/17,41.94922,-87.64966,polygon
EMPTY BOTTLE INC,Empty Bottle,1035 N WESTERN AVE,60622,2/17/17,3/4/17,41.90040,-87.68681,polygon
"PHIL STEFANI SIGNATURE EVENTS, LLC",Inspired Catering & Events,1603 N LAKE SHORE DR,60614,3/2/17,3/5/17,41.91137,-87.62625,polygon
PLAYERS ON OGDEN LLC,PLAYERS ON OGDEN LLC,551 N OGDEN AVE,60642,3/9/17,3/11/17,41.89238,-87.65773,polygon
O'NEIL'S BAR & GRILL CORPORATION,O'Neil's Bar & Grill,411 S FINANCIAL PL,60605,2/24/17,3/11/17,41.87657,-87.63296,polygon
"HARD ROCK CAFE INTERNATIONAL (CHICAGO), INC.","Hard Rock Cafe International (Chicago), Inc.",63 W ONTARIO ST,60654,2/27/17,3/11/17,41.89313,-87.63056,polygon
"LIZZIE MCNEILL'S, INC.",Lizzie McNeill's,400 N MCCLURG CT,60611,3/9/17,3/12/17,41.88912,-87.61775,polygon
THE MUSEUM OF CONTEMPORARY ART,MCA WAREHOUSE,1747 W HUBBARD ST,60622,2/10/17,3/15/17,41.88971,-87.67142,polygon
ESO THEATER,EVERYBODY SHOW OUT BOUTIQUE THEATER,5401-5403 W MADISON ST 1ST,60644,2/27/15,3/15/17,41.88020,-87.76019,polygon
"HIT PORTFOLIO I TRS, LLC",HOMEWOOD SUITES BY HILTON CHICAGO DOWNTOWN,40 E GRAND AVE 6-19,60611,2/27/15,3/15/17,41.89180,-87.62649,polygon
LOEWS CHICAGO OPERATING COMPANY LLC,THE LOEWS CHICAGO,455 N PARK DR 1-52,60611,2/19/15,3/15/17,41.89022,-87.61946,polygon
H&G CLARK STREET LLC,VILLAINS CHICAGO,730 S CLARK ST 1 D&E,60605,3/12/15,3/15/17,41.87278,-87.63077,polygon
"CINEMA BEVERAGES HOLDING COMPANY, LLC",CENTURY CENTRE LOUNGE,2828 N CLARK ST 4TH,60657,3/6/15,3/15/17,41.93347,-87.64560,polygon
LOEWS CHICAGO OPERATING COMPANY LLC,THE LOEWS CHICAGO,455 N PARK DR 1-52,60611,2/24/15,3/15/17,41.89022,-87.61946,polygon
Q-TINE CHICAGO LLC,Q-TINE,2339 N MILWAUKEE AVE,60647,3/16/15,3/15/17,41.92379,-87.69857,polygon
"NEXT DOOR NEIGHBORS, LLC",FOUR STAR LOUNGE,2666-2668 N HALSTED ST,60614,2/23/15,3/15/17,41.93091,-87.64910,polygon
"RALPH DAVINO ENTERPRISES, INC.",POMPEI ON SHEFFIELD,2953-2955 N SHEFFIELD AVE 1ST,60657,2/27/15,3/15/17,41.93604,-87.65383,polygon
LOEWS CHICAGO OPERATING COMPANY LLC,THE LOEWS CHICAGO,455 N PARK DR 1-52,60611,2/19/15,3/15/17,41.89022,-87.61946,polygon
LOEWS CHICAGO OPERATING COMPANY LLC,THE LOEWS CHICAGO,455 N PARK DR 1-52,60611,2/19/15,3/15/17,41.89022,-87.61946,polygon
LOEWS CHICAGO OPERATING COMPANY LLC,THE LOEWS CHICAGO,455 N PARK DR 1-52,60611,2/20/15,3/15/17,41.89022,-87.61946,polygon
"C FISH HOUSE, LLC","OCEAN CUT CHICAGO, L.L.C.",20 W KINZIE ST 1,60654,3/18/15,3/15/17,41.88935,-87.62885,polygon
"MOMMA AND JIMMY'S GENIE, INC.",TRADITION,160 N FRANKLIN ST,60606,2/23/15,3/15/17,41.88481,-87.63554,polygon
"WHOLE FOODS MARKET GROUP, INC.",WHOLE FOODS MARKET,1 N HALSTED ST 1,60661,3/11/15,3/15/17,41.88182,-87.64721,polygon
LOEWS CHICAGO OPERATING COMPANY LLC,THE LOEWS CHICAGO,455 N PARK DR 1-52,60611,2/19/15,3/15/17,41.89022,-87.61946,polygon
"LIZZIE MCNEILL'S, INC.",Lizzie McNeill's,400 N MCCLURG CT,60611,3/9/17,3/18/17,41.88912,-87.61775,polygon
"CRIMESTOPPERS PLUS, INC.",CRIMESTOPPERS,1758 W GRAND AVE 1,60622,3/24/17,3/25/17,41.89101,-87.67198,polygon
PILOT LIGHT,PAUL KAHAN VANS COLLABORATION CHARITY EVENT,113 N ELIZABETH ST,60607,3/31/17,4/1/17,41.88332,-87.65866,polygon
"MILLENNIUM PARK JOINT VENTURE, LLC",Millennium Park Joint Venture LLC,100 S COLUMBUS DR,60603,3/17/17,4/2/17,41.88081,-87.62093,polygon
LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,1901 W MADISON ST,60612,3/2/17,4/8/17,41.88124,-87.67428,polygon
"NORTH INN, LTD.",EXIT,1315 W NORTH AVE 1-2,60642,4/13/15,4/15/17,41.91061,-87.66112,polygon
"THE AVONDALE COFFEE, LLC",AVONDALE TAP,3634 W BELMONT AVE,60618,3/27/15,4/15/17,41.93931,-87.71874,polygon
INTEGRATED CLARK MONROE LLC,HYATT CENTRIC THE LOOP CHICAGO,100 W MONROE ST 1-23,60603,3/31/15,4/15/17,41.88081,-87.63093,polygon
ENJ LLC,BIN 36 RESTAURANT,161 N JEFFERSON ST,60661,4/3/15,4/15/17,41.88494,-87.64260,polygon
"C FISH HOUSE, LLC","OCEAN CUT CHICAGO, L.L.C.",20 W KINZIE ST 1,60654,3/18/15,4/15/17,41.88935,-87.62885,polygon
"L3 STREETERVILLE, LLC",LYFE KITCHEN,259 E ERIE ST 1,60611,8/3/15,4/15/17,41.89409,-87.62040,polygon
"DINEAMIC STEAK, LLC",PRIME & PROVISIONS,222 N LA SALLE ST 1&2,60601,3/23/15,4/15/17,41.88635,-87.63261,polygon
"DINEAMIC STEAK, LLC",PRIME & PROVISIONS,222 N LA SALLE ST 1&2,60601,3/24/15,4/15/17,41.88635,-87.63261,polygon
"MOMMA AND JIMMY'S GENIE, INC.",TRADITION,160 N FRANKLIN ST,60606,4/30/15,4/15/17,41.88481,-87.63554,polygon
"1447 W. TAYLOR, INC.",VINTAGE LOUNGE,1447-1449 W TAYLOR ST,60607,4/13/15,4/15/17,41.86920,-87.66355,polygon
"DINEAMIC STEAK, LLC",PRIME & PROVISIONS,222 N LA SALLE ST 1&2,60601,3/23/15,4/15/17,41.88635,-87.63261,polygon
"1447 W. TAYLOR, INC.",VINTAGE LOUNGE,1447-1449 W TAYLOR ST,60607,4/13/15,4/15/17,41.86920,-87.66355,polygon
GREEK KITCHEN II INC.,GRK GREEK KITCHEN,400 S WELLS ST 1 & 2,60607,3/27/15,4/15/17,41.87678,-87.63384,polygon
"DINEAMIC STEAK, LLC",PRIME & PROVISIONS,222 N LA SALLE ST 1&2,60601,3/24/15,4/15/17,41.88635,-87.63261,polygon
ENJ LLC,BIN 36 RESTAURANT,161 N JEFFERSON ST,60661,4/3/15,4/15/17,41.88494,-87.64260,polygon
BUCKS SALOON INC,REPLAY,3439 N HALSTED ST,60657,4/10/15,4/15/17,41.94482,-87.64927,polygon
"1447 W. TAYLOR, INC.",VINTAGE LOUNGE,1447-1449 W TAYLOR ST,60607,4/13/15,4/15/17,41.86920,-87.66355,polygon
GREEK KITCHEN II INC.,GRK GREEK KITCHEN,400 S WELLS ST 1 & 2,60607,3/27/15,4/15/17,41.87678,-87.63384,polygon
"L3 STREETERVILLE, LLC",LYFE KITCHEN,259 E ERIE ST 1,60611,3/25/15,4/15/17,41.89409,-87.62040,polygon
CHRISTOPHER HOUSE,Rise Against Album Release Concert,113 N ELIZABETH ST,60607,4/20/17,4/21/17,41.88332,-87.65866,polygon
LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,1901 W MADISON ST,60612,3/28/17,4/21/17,41.88124,-87.67428,polygon
"EQUIP for EQUALITY, INC.",YOUNG PROFESSIONALS RECEPTION,1647 N DAMEN AVE,60647,4/20/17,4/22/17,41.91191,-87.67735,polygon
DRIEHAUS DESIGN INITIATIVE,DRIEHAUS DESIGN INITIATIVE 2017,700 S DESPLAINES ST,60607,4/28/17,4/28/17,41.87345,-87.64401,polygon
CHRISTOPHER HOUSE,HOUSE OF VANS GRAND OPENING CEREMONY,113 N ELIZABETH ST,60607,2/28/17,4/29/17,41.88332,-87.65866,polygon
LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,1901 W MADISON ST,60612,4/21/17,5/3/17,41.88124,-87.67428,polygon
"SELECT CUT STEAKHOUSE, INC.",Select Cut Steakhouse,302 S COLUMBUS DR,60604,5/4/17,5/6/17,41.87822,-87.62082,polygon
"WHERE'S THE DUKE, INC.",Where's the Duke? Inc.,940 W WEED ST,60642,5/4/17,5/6/17,41.90990,-87.65277,polygon
LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,3635 N CLARK ST,60613,4/28/17,5/13/17,41.94810,-87.65707,polygon
"BEHIND THE SCENES CHICAGO, LLC",Paramount Events,800 S DESPLAINES ST,60607,5/11/17,5/14/17,41.87193,-87.64396,polygon
"3471 N. ELSTON, INC.",CHIEF O'NEILL'S PUB AND RESTAURANT,3471-3479 N ELSTON AVE,60618,8/27/15,5/15/17,41.94431,-87.70525,polygon
"3471 N. ELSTON, INC.",CHIEF O'NEILL'S PUB AND RESTAURANT,3471-3479 N ELSTON AVE,60618,8/27/15,5/15/17,41.94431,-87.70525,polygon
"3471 N. ELSTON, INC.",CHIEF O'NEILL'S PUB AND RESTAURANT,3471-3479 N ELSTON AVE,60618,8/27/15,5/15/17,41.94431,-87.70525,polygon
"OXFORD HOTELS AND RESORTS, LLC",DOLCE ITALIAN,127 W HURON ST 1ST,60654,5/11/15,5/15/17,41.89471,-87.63242,polygon
DYLAN'S CANDYBAR LLC,DYLAN'S CANDY BAR,435-445 N MICHIGAN AVE 1-2,60611,5/7/15,5/15/17,41.89042,-87.62397,polygon
DHC FOOD & BEVERAGE CORPORATION,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,60607,4/17/15,5/15/17,41.87343,-87.66643,polygon
DHC FOOD & BEVERAGE CORPORATION,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,60607,4/17/15,5/15/17,41.87343,-87.66643,polygon
"LABRIOLA CAFE - MICHIGAN AVE., LLC",LABRIOLA BAKERY CAFE,535 N MICHIGAN AVE 1,60611,5/1/15,5/15/17,41.89190,-87.62402,polygon
"B-KEG, LLC",THE GENERAL,2528 N CALIFORNIA AVE 1,60647,5/12/15,5/15/17,41.92744,-87.69763,polygon
DHC FOOD & BEVERAGE CORPORATION,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,60607,4/17/15,5/15/17,41.87343,-87.66643,polygon
"OXFORD HOTELS AND RESORTS, LLC",DOLCE ITALIAN,127 W HURON ST 1ST,60654,5/11/15,5/15/17,41.89471,-87.63242,polygon
"NANDO'S OF WEST LOOP, LLC",NANDO'S PERI-PERI,949-953 W RANDOLPH ST,60607,5/14/15,5/15/17,41.88422,-87.65169,polygon
"BELMONT & HALSTED, INC",SPIN - MANHOLE,3200-3210 N HALSTED ST,60657,5/14/15,5/15/17,41.94003,-87.64942,polygon
"COCHON VOLANT, LLC",COCHAN VOLANT,100 W MONROE ST 1,60603,4/17/15,5/15/17,41.88081,-87.63093,polygon
"PINSTRIPES, INC.",PINSTRIPES,435 E ILLINOIS ST LL-1ST,60611,5/11/15,5/15/17,41.89097,-87.61635,polygon
DHC FOOD & BEVERAGE CORPORATION,MARRIOTT CHICAGO MEDICAL DISTRICT,625 S ASHLAND AVE 1-4,60607,4/17/15,5/15/17,41.87343,-87.66643,polygon
"SHEFFIELD CHICAGO, LLC",BAR COCINA,2901 N SHEFFIELD AVE 1,60657,5/11/15,5/15/17,41.93450,-87.65378,polygon
"JARRGON, INC.",HAYWOOD TAVERN,2759 W AUGUSTA BLVD 1,60622,4/21/15,5/15/17,41.89917,-87.69673,polygon
"DAVID DE QUAY, LLC",DE QUAY,2470 N LINCOLN AVE 1ST,60614,4/24/15,5/15/17,41.92687,-87.65097,polygon
"SHEFFIELD CHICAGO, LLC",BAR COCINA,2901 N SHEFFIELD AVE 1,60657,5/11/15,5/15/17,41.93450,-87.65378,polygon
"FULTON STREET BREWERY, LLC",GOOSE ISLAND BEER COMPANY,1800 W FULTON ST,60612,4/27/15,5/15/17,41.88696,-87.67203,polygon
SYDELL HOSTEL MANAGER LLC,FREEHAND CHICAGO / CAFE INTEGRAL / BROKEN SHAKER,17-19 E OHIO ST 1-17,60611,5/12/15,5/15/17,41.89237,-87.62733,polygon
4 STAR 20 NORTH LLC,REMINGTON'S,20 N MICHIGAN AVE,60602,5/4/15,5/15/17,41.88254,-87.62453,polygon
"BELMONT & HALSTED, INC",SPIN - MANHOLE,3200-3210 N HALSTED ST,60657,5/14/15,5/15/17,41.94003,-87.64942,polygon
"TGL GROUP, LLC",JERK,811 W CHICAGO AVE 1 100,60642,5/7/15,5/15/17,41.89629,-87.64830,polygon
"REVEL BAR GROUP, LLC",WISE OWL DRINKERY & COOKHOUSE,324 S RACINE AVE 1,60607,4/17/15,5/15/17,41.87698,-87.65715,polygon
"REVEL BAR GROUP, LLC",WISE OWL DRINKERY & COOKHOUSE,324 S RACINE AVE 1,60607,4/17/15,5/15/17,41.87698,-87.65715,polygon
"BELMONT & HALSTED, INC",SPIN - MANHOLE,3200-3210 N HALSTED ST,60657,5/14/15,5/15/17,41.94003,-87.64942,polygon
"REVEL BAR GROUP, LLC",WISE OWL DRINKERY & COOKHOUSE,324 S RACINE AVE 1,60607,4/17/15,5/15/17,41.87698,-87.65715,polygon
"COCHON VOLANT, LLC",COCHAN VOLANT,100 W MONROE ST 1,60603,4/17/15,5/15/17,41.88081,-87.63093,polygon
"NANDO'S OF WEST LOOP, LLC",NANDO'S PERI-PERI,949-953 W RANDOLPH ST,60607,5/14/15,5/15/17,41.88422,-87.65169,polygon
HILTON MANAGEMENT LLC,Hilton Management LLC,720 S MICHIGAN AVE,60605,5/16/17,5/16/17,41.87280,-87.62434,polygon
"LITTLE GOAT, LLC",Little Goat Diner,605 N SACRAMENTO BLVD,60612,5/5/17,5/22/17,41.89215,-87.70186,polygon
"KMFA, LTD.",Santorini,400 S HALSTED ST,60607,5/30/17,5/28/17,41.87666,-87.64735,polygon
"MUSES FOOD & LIQUOR, INC.",9 Muses,333 S HALSTED ST,60661,5/26/17,5/28/17,41.87695,-87.64706,polygon
"BLUE IRIS CAFE, INC.",Trader Todd's,3200 N SHEFFIELD AVE,60657,5/26/17,5/29/17,41.94000,-87.65426,polygon
HOME RUN INN PIZZA-SHEFFIELD INC.,Home Run Inn Pizza,3200-3300 N SHEFFIELD AVE,60657,5/26/17,5/29/17,41.94000,-87.65426,polygon
"OLD CHICAGO INN & TRANSIT COMPANY, LTD.",Old Chicago Inn,3200 N SHEFFIELD AVE,60657,5/26/17,5/29/17,41.94000,-87.65426,polygon
"SHEFFIELD'S BEER & WINE GARDEN, INC.","SHEFFIELD'S BEER & WINE GARDEN, INC.",3200-3300 N SHEFFIELD AVE,60657,5/26/17,5/29/17,41.94000,-87.65426,polygon
BERLIN CORPORATION,Berlin,3200 N SHEFFIELD AVE,60657,5/26/17,5/29/17,41.94000,-87.65426,polygon
THE ART INSTITUTE OF CHICAGO,GRADUATION EXHIBITION,108 N STATE ST 3,60602,5/12/17,5/30/17,41.88342,-87.62802,polygon
"SOUTHPORT BREWPUB, LLC",CORRIDOR BREWERY AND PROVISIONS,3410 N SOUTHPORT AVE,60657,5/18/17,6/1/17,41.94376,-87.66407,polygon
PARSON'S CHICKEN & FISH LLC,Parson's Chicken & Fish,2001 N HUMBOLDT BLVD,60647,5/18/17,6/4/17,41.91750,-87.70194,polygon
B.B.L.L. INC.,BBLL Inc. / Cleo's,2000 W DIVISION ST,60622,5/10/17,6/4/17,41.90330,-87.67738,polygon
CUBBY BEAR LOUNGE LIMITED,CUBBY BEAR,1059 W ADDISON ST,60613,5/10/17,6/4/17,41.94709,-87.65664,polygon
CAFE ALEJO LLC,ALEJO'S BOATHOUSE CAFE,1301 N HUMBOLDT DR,60622,6/2/17,6/4/17,41.90474,-87.70180,polygon
CHICAGO SHAKESPEARE THEATER,CHICAGO SHAKESPEARE THEATRE,800 E GRAND AVE 1,60611,6/6/17,6/9/17,41.89229,-87.60678,polygon
CHRISTOPHER HOUSE,SUMMER CONCERT AND FILM SCREENING,113 N ELIZABETH ST 1,60607,6/9/17,6/10/17,41.88332,-87.65866,polygon
"BIALYNIA PARTNERS, LLC",THE DOCK AT MONTROSE BEACH,1600 N LAKE SHORE DR,60614,6/9/17,6/10/17,41.91122,-87.62648,polygon
"RAYAN'S RESTAURANT & LIQUORS, INC.",RAYAN'S LIQUOR & DELI,100 S LAKE SHORE DR,60603,6/7/17,6/10/17,41.88086,-87.61764,polygon
ADOBO LP,ADOBO GRILL,1600 N WELLS ST,60614,6/7/17,6/11/17,41.91120,-87.63486,polygon
SUBTERRANEAN LIMITED PART.,Subterranean,1400 N DAMEN AVE,60622,6/7/17,6/11/17,41.90719,-87.67752,polygon
"P. J. WELLS, INC.",P. J. WELLS,1600 N WELLS ST,60614,6/7/17,6/11/17,41.91120,-87.63486,polygon
"PHIL STEFANI SIGNATURE EVENTS, LLC",Inspired Catering & Events,1763 N NORTH PARK AVE,60614,6/7/17,6/11/17,41.91469,-87.63663,polygon
"FIREPLACE INNS, INC.",THE FIREPLACE INN,1600 N WELLS ST,60614,6/7/17,6/11/17,41.91120,-87.63486,polygon
"KONISAN (OLD TOWN), INC.",Kamehachi,1600 N WELLS ST,60614,6/7/17,6/11/17,41.91120,-87.63486,polygon
"CANALU, LLC",Dinotto,1600 N WELLS ST,60614,6/7/17,6/11/17,41.91120,-87.63486,polygon
"MILLENNIUM PARK JOINT VENTURE, LLC","MILLENNIUM PARK JOINT VENTURE, LLC",201 E RANDOLPH ST,60601,6/9/17,6/11/17,41.88417,-87.62225,polygon
"WELLS HOLDINGS, LLC",Benchmark,1600 N WELLS ST,60614,6/7/17,6/11/17,41.91120,-87.63486,polygon
KANELA II LLC,Kanela Breakfast Club,1600 N WELLS ST,60614,6/7/17,6/11/17,41.91120,-87.63486,polygon
"MILITO'S, LTD.",Milito's dba Orso's Restaurant,1600 N WELLS ST,60614,6/7/17,6/11/17,41.91120,-87.63486,polygon
"ISLAND PARTY HUT, LLC",ISLAND PARTY HUT,355 E RIVERWALK SOUTH  1,60601,5/22/15,6/15/17,41.88781,-87.61788,polygon
ETNO GROUP LLC,BROKEN ENGLISH TACO PUB - LINCOLN PARK,2574-2580 N LINCOLN AVE,60614,5/29/15,6/15/17,41.92869,-87.65352,polygon
ETNO GROUP LLC,BROKEN ENGLISH TACO PUB - LINCOLN PARK,2574-2580 N LINCOLN AVE,60614,5/29/15,6/15/17,41.92869,-87.65352,polygon
ETNO GROUP LLC,BROKEN ENGLISH TACO PUB - LINCOLN PARK,2574-2580 N LINCOLN AVE,60614,5/29/15,6/15/17,41.92869,-87.65352,polygon
"FLANDERS BEER AND FRIES, LLC",FLANDERS BEER AND FRIES,55 W RIVERWALK SOUTH,60601,6/5/15,6/15/17,41.88695,-87.62987,polygon
"CITY WINERY CHICAGO, LLC",CITY WINERY CHICAGO,11 W RIVERWALK SOUTH  1,60601,6/10/15,6/15/17,41.88695,-87.62837,polygon
